Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Silicon,0.011,0.22,56.984,1.60779
Capacitor,0.011,0.22,0.238378,0.485209
Feedline,0.011,0.22,0.873598,0.812477
Mount,0.011,0.22,1.0885,0.580845
Inductor,0.001,0.24,1.10148,0.816842
Silicon,0.001,0.24,38.1345,2.36858
Capacitor,0.001,0.24,0.394472,0.527613
Feedline,0.001,0.24,2.41709,1.1702
Mount,0.001,0.24,17.9437,2.02237
Inductor,0.003,0.24,1.10313,0.963771
Silicon,0.003,0.24,50.2531,2.08215
Capacitor,0.003,0.24,0.392266,0.474745
Feedline,0.003,0.24,1.35328,0.997726
Mount,0.003,0.24,6.89504,1.61313
Inductor,0.005,0.24,0.828067,0.806994
Silicon,0.005,0.24,53.91,1.80539
Capacitor,0.005,0.24,0.221724,0.372085
Feedline,0.005,0.24,1.27116,1.10086
Mount,0.005,0.24,3.76705,1.40096
Inductor,0.007,0.24,0.872149,1.06259
Silicon,0.007,0.24,55.4229,1.76333
Capacitor,0.007,0.24,0.233139,0.423643
Feedline,0.007,0.24,1.31423,0.953527
Mount,0.007,0.24,2.1559,0.843483
Inductor,0.009,0.24,0.814905,1.03541
Silicon,0.009,0.24,56.3414,1.47619
Capacitor,0.009,0.24,0.224934,0.357512
Feedline,0.009,0.24,1.00754,0.858813
Mount,0.009,0.24,1.60845,0.615807
Inductor,0.011,0.24,0.830392,0.92361
Silicon,0.011,0.24,56.9412,1.44586
Capacitor,0.011,0.24,0.264979,0.437101
Feedline,0.011,0.24,0.830448,0.831419
Mount,0.011,0.24,1.1291,0.581481
Inductor,0.001,0.26,1.00632,0.783472
Silicon,0.001,0.26,37.2201,2.56919
Capacitor,0.001,0.26,0.426392,0.577676
Feedline,0.001,0.26,2.40903,1.004
Mount,0.001,0.26,18.9283,2.48787
Inductor,0.003,0.26,1.07794,1.09593
Silicon,0.003,0.26,50.0785,2.04041
Capacitor,0.003,0.26,0.271969,0.464069
Feedline,0.003,0.26,1.39071,0.907038
Mount,0.003,0.26,7.17799,1.62952
Inductor,0.005,0.26,1.09163,0.949267
Silicon,0.005,0.26,53.3904,1.83342
Capacitor,0.005,0.26,0.27826,0.410271
Feedline,0.005,0.26,1.22286,0.957619
Mount,0.005,0.26,4.01339,1.14097
Inductor,0.007,0.26,0.96526,0.945605
Silicon,0.007,0.26,55.1569,1.51219
Capacitor,0.007,0.26,0.31299,0.526557
Feedline,0.007,0.26,1.04671,0.883653
Mount,0.007,0.26,2.51646,0.851594
Inductor,0.009,0.26,0.796426,0.773185
Silicon,0.009,0.26,55.9043,1.48229
Capacitor,0.009,0.26,0.224709,0.381707
Feedline,0.009,0.26,1.24904,1.07532
Mount,0.009,0.26,1.82318,0.712123
Inductor,0.011,0.26,0.839342,0.867774
Silicon,0.011,0.26,56.8742,1.13404
Capacitor,0.011,0.26,0.170984,0.360352
Feedline,0.011,0.26,0.924632,0.842036
Mount,0.011,0.26,1.18761,0.648307
Inductor,0.001,0.28,1.16577,0.76123
Silicon,0.001,0.28,36.0519,2.24866
